# index, name, nodeLabel, _pos
264,MLL,MLL,"array([3.70181484, 7.16097365])"
265,PPIE,PPIE,"array([3.75275192, 7.21721989])"
266,PPP1R15A,PPP1R15A,"array([3.64784907, 7.14439683])"
267,RAP1GAP,RAP1GAP,"array([3.5724154 , 7.14263018])"
268,PVRL1,PVRL1,"array([3.48851518, 7.11711069])"
269,PFN1,PFN1,"array([3.64144912, 7.19360167])"
270,MYF5,MYF5,"array([3.70832254, 7.02168619])"
271,NEB,NEB,"array([3.55176893, 7.12910843])"
272,NGFR,NGFR,"array([3.59226409, 7.20365549])"
273,PRKACB,PRKACB,"array([3.61572973, 7.19240077])"
274,LSM7,LSM7,"array([3.70722053, 7.24079562])"
275,NPY1R,NPY1R,"array([3.5354365 , 7.07379678])"
276,SNCAIP,SNCAIP,"array([3.53594213, 7.17263282])"
277,SNCA,SNCA,"array([3.44076451, 7.12927046])"
278,NFKBIA,NFKBIA,"array([3.645426  , 7.18158029])"
279,UBE2E3,UBE2E3,"array([3.63376064, 7.21807561])"
280,EPB41L1,EPB41L1,"array([3.59716201, 7.15826968])"
281,MAP3K8,MAP3K8,"array([3.61156292, 7.12101117])"
282,RELA,RELA,"array([3.66421631, 7.17484001])"
283,FOS,FOS,"array([3.67831056, 7.16727063])"
284,RNF25,RNF25,"array([3.56909189, 7.17468649])"
285,PPP1R13L,PPP1R13L,"array([3.7670241, 7.1833716])"
286,FEN1,FEN1,"array([3.68443023, 7.18957446])"
287,NOP2,NOP2,"array([3.67448784, 7.23347241])"
288,MCRS1,MCRS1,"array([3.69682923, 7.18699609])"
289,ETS1,ETS1,"array([3.67530212, 7.17113534])"
290,PLXNA1,PLXNA1,"array([3.60991307, 7.09514066])"
291,AKT1,AKT1,"array([3.61833817, 7.17339542])"
292,AKT2,AKT2,"array([3.6652606 , 7.18937016])"
293,APPL1,APPL1,"array([3.67014113, 7.24879584])"
294,ETS2,ETS2,"array([3.69216109, 7.11511078])"
295,CDK10,CDK10,"array([3.68048921, 7.17146094])"
296,SHANK2,SHANK2,"array([3.54883723, 7.08378766])"
297,CTTN,CTTN,"array([3.6240717 , 7.16674334])"
298,WIPF1,WIPF1,"array([3.60108229, 7.20300209])"
299,SNW1,SNW1,"array([3.67996465, 7.18476893])"
300,SKI,SKI,"array([3.67285154, 7.11674233])"
301,NRAS,NRAS,"array([3.56402146, 7.23208352])"
302,RAP1GDS1,RAP1GDS1,"array([3.56350743, 7.16946085])"
303,GLMN,GLMN,"array([3.6086028 , 7.18799241])"
304,MET,MET,"array([3.60330864, 7.15191074])"
305,KDM5B,KDM5B,"array([3.70333371, 7.11432974])"
306,FOXG1,FOXG1,"array([3.64506135, 7.08609867])"
307,EZH2,EZH2,"array([3.6951877 , 7.15940904])"
308,REL,REL,"array([3.68959183, 7.20455335])"
309,PPP4C,PPP4C,"array([3.60895479, 7.21660172])"
310,FLT1,FLT1,"array([3.49797649, 7.16157696])"
311,SHC1,SHC1,"array([3.59488288, 7.19188334])"
312,OPRD1,OPRD1,"array([3.61612054, 7.11750135])"
313,GPRASP1,GPRASP1,"array([3.62103633, 7.17763389])"
314,MYO1C,MYO1C,"array([3.61742925, 7.20428035])"
315,PDE6D,PDE6D,"array([3.55688561, 7.18749673])"
316,RHOB,RHOB,"array([3.53604283, 7.22137772])"
317,RHOA,RHOA,"array([3.56661019, 7.17666747])"
318,PAX5,PAX5,"array([3.74653005, 7.1053001 ])"
319,TLE4,TLE4,"array([3.74069577, 7.17510308])"
320,PAX9,PAX9,"array([3.77661995, 7.08494687])"
321,KALRN,KALRN,"array([3.59125926, 7.10179064])"
322,PAM,PAM,"array([3.50982942, 7.13140107])"
323,NRBF2,NRBF2,"array([3.70443868, 7.10007582])"
324,PPARA,PPARA,"array([3.69440844, 7.11688702])"
325,PIK3R3,PIK3R3,"array([3.59511938, 7.20783191])"
326,PIK3CA,PIK3CA,"array([3.58857353, 7.14705874])"
327,APOA1,APOA1,"array([3.54398287, 7.31077553])"
328,PDE1A,PDE1A,"array([3.46753869, 7.24626166])"
329,NAA38,NAA38,"array([3.7172945 , 7.24255261])"
330,PGD,PGD,"array([3.57120881, 7.22416647])"
331,SNX17,SNX17,"array([3.53969601, 7.13060779])"
332,SELP,SELP,"array([3.65240733, 7.07152562])"
333,PKD1,PKD1,"array([3.54573154, 7.18355436])"
334,PKD2,PKD2,"array([3.50567132, 7.26036363])"
335,TRPC1,TRPC1,"array([3.56736013, 7.28457493])"
336,KCNA4,KCNA4,"array([3.53554899, 7.096236  ])"
337,DLG1,DLG1,"array([3.56058803, 7.11482824])"
338,PFN2,PFN2,"array([3.66129454, 7.19097867])"
339,FHOD1,FHOD1,"array([3.59359221, 7.2108343 ])"
340,HUS1,HUS1,"array([3.74097424, 7.20715345])"
341,PTPRB,PTPRB,"array([3.66327572, 7.02412316])"
342,MAGI3,MAGI3,"array([3.61550392, 7.04869064])"
343,PRKAR1A,PRKAR1A,"array([3.64630739, 7.1719983 ])"
344,PRKAR1B,PRKAR1B,"array([3.56736751, 7.14324159])"
345,AKAP1,AKAP1,"array([3.54916248, 7.20336259])"
346,FER,FER,"array([3.61620239, 7.23352443])"
347,TMF1,TMF1,"array([3.73593329, 7.15179219])"
348,MAPK1,MAPK1,"array([3.63695128, 7.17241463])"
349,NEK2,NEK2,"array([3.64639975, 7.18424332])"
350,HABP4,HABP4,"array([3.63852914, 7.15035962])"
351,GNB2L1,GNB2L1,"array([3.63201103, 7.17772468])"
352,NSMAF,NSMAF,"array([3.57316284, 7.12947379])"
353,AR,AR,"array([3.66026623, 7.1565182 ])"
354,ST7,ST7,"array([3.51736242, 7.20263778])"
355,ITGB2,ITGB2,"array([3.57858947, 7.14482169])"
356,PDPK1,PDPK1,"array([3.63981922, 7.19223696])"
357,PRKCZ,PRKCZ,"array([3.61062392, 7.15199127])"
358,WWC1,WWC1,"array([3.59605062, 7.1773545 ])"
359,MAF,MAF,"array([3.71080727, 7.10957295])"
360,ARHGDIG,ARHGDIG,"array([3.45633541, 7.24164092])"
361,RHOG,RHOG,"array([3.54697773, 7.29783971])"
362,CD2AP,CD2AP,"array([3.56199482, 7.18206073])"
363,RAB4A,RAB4A,"array([3.57302965, 7.23988477])"
364,RABEP1,RABEP1,"array([3.63132707, 7.219459  ])"
365,RAB5A,RAB5A,"array([3.56287157, 7.21721702])"
366,RIN3,RIN3,"array([3.49896021, 7.17855369])"
367,RAB5B,RAB5B,"array([3.56481763, 7.20072025])"
368,RAP1A,RAP1A,"array([3.57971676, 7.19701348])"
369,KRIT1,KRIT1,"array([3.52926728, 7.16970933])"
370,RGL2,RGL2,"array([3.61340755, 7.118941  ])"
371,RAP1B,RAP1B,"array([3.5998851 , 7.15887296])"
372,RAP2B,RAP2B,"array([3.53217638, 7.26686265])"
373,EXOC8,EXOC8,"array([3.6303211 , 7.16032461])"
374,RALA,RALA,"array([3.56717123, 7.21103351])"
375,BRCA2,BRCA2,"array([3.6979732 , 7.20277791])"
376,RAD51,RAD51,"array([3.72370478, 7.21040893])"
377,RAD51AP1,RAD51AP1,"array([3.75405023, 7.16087225])"
378,DMC1,DMC1,"array([3.78649264, 7.26400037])"
379,HBP1,HBP1,"array([3.65582771, 7.13466338])"
380,TRAP1,TRAP1,"array([3.67830105, 7.20619086])"
381,AATF,AATF,"array([3.65059811, 7.14167121])"
382,THOC1,THOC1,"array([3.71753179, 7.22703714])"
383,RBL2,RBL2,"array([3.71718658, 7.17925786])"
384,RXRA,RXRA,"array([3.66039712, 7.13858556])"
385,BRD8,BRD8,"array([3.72418038, 7.13674249])"
386,ANK1,ANK1,"array([3.66772204, 7.08377551])"
387,RHAG,RHAG,"array([3.71005298, 6.93476841])"
388,LMO2,LMO2,"array([3.67495656, 7.12508846])"
389,KDM5A,KDM5A,"array([3.73086296, 7.1433766 ])"
390,TAL1,TAL1,"array([3.69304385, 7.13005944])"
391,UPF2,UPF2,"array([3.64871193, 7.21648518])"
392,RPS25,RPS25,"array([3.65281025, 7.21823977])"
393,RPLP1,RPLP1,"array([3.64152447, 7.25091388])"
394,RPLP2,RPLP2,"array([3.66169006, 7.2471916 ])"
395,CYTH1,CYTH1,"array([3.58995725, 7.11190522])"
